Year,State,Poverty,Annual_income,Demograph,Nitrate,Radium,Population,Cancer Cases
2013,Oregon,16.5,50228,3924110,1.011649874,0.96496124,3909962,644
2013,Rhode Island,14.7,55015,1055560,1.111111111,1.62375,1034452,202
2013,South Carolina,18.5,44310,4766469,0.688321995,2.409464286,3630722,808
2013,Utah,12.6,59715,2898773,0.99016,0.772981651,2795852,380
2013,Vermont,12.3,52511,626603,0.499294404,1.153103448,446994,118
2013,Washington,14.1,58431,6966252,1.139371345,0.807272727,5982257,1167
2013,West Virginia,18.4,41195,1854768,0.810648855,0.52421875,1416293,334
2013,Wisconsin,13.5,51474,5738012,1.243294118,2.096666667,4050643,1169
2014,Arizona,18.2,50036,6732873,2.11982906,0.661265823,6399564,851
2014,California,16.4,61927,38586706,2.068227848,2.653333333,41174437,5256
2014,Colorado,12.1,61324,5352637,0.977009873,2.444214876,5263167,774
2014,Connecticut,10.8,70007,3595697,1.285555556,0.905362319,2754692,654
2014,Delaware,13,59853,933131,2.029234694,1.6975,886247,166
2014,Florida,16.6,47439,19853880,0.576547619,0.790322581,19359141,5203
2014,Iowa,12.3,53816,3110643,1.115526012,2.272580645,2753592,638
2014,Kentucky,19,42914,4416992,0.890826446,2.006455696,4645995,795
2014,Maine,14,49381,1331217,0.562513661,0.935,669168,261
2014,Maryland,10.4,73851,5960064,1.41935123,1.53755102,5288267,827
2014,Minnesota,11.4,61473,5452665,0.647276551,1.721707317,4332607,1034
2014,Missouri,15.5,48288,6059130,0.230804598,1.575384615,5351860,1028
2014,Nebraska,12.3,52803,1879955,2.90106087,0.977065217,1592119,320
2014,New Hampshire,9.2,66469,1334257,0.583019432,1.025435897,867238,247
2014,New Jersey,11.1,71968,8867277,1.269501134,1.661632653,9053727,1681
2014,New Mexico,20.6,44905,2090236,1.055545927,0.613454545,1874740,309
2014,New York,16,58771,19653431,0.889466667,0.9872,17790348,3916
2014,North Carolina,17.2,46596,9937295,1.158954869,1.41675,8332506,1667
2014,Oregon,16.4,51088,3965447,0.891936306,1.165,3907292,617
2014,Rhode Island,14.8,54797,1056511,1.312727273,0.81952381,1034882,184
2014,South Carolina,17.9,45337,4826858,0.704262673,2.174038462,3672480,754
2014,Utah,11.8,60943,2938327,0.998235294,0.734146341,4469749,366
2014,Vermont,12,54153,625693,0.493031785,1.235223881,449172,119
2014,Washington,13.2,61358,7057531,1.142675848,0.141111111,6001501,1224
2014,West Virginia,18.3,41030,1850569,0.812921811,0.465,1483875,360
2014,Wisconsin,13.2,52632,5753199,1.463369565,1.106666667,4063134,1219
