Year,State,Poverty,Cases,Annual_income,Demograph,COPD
2007,Montana,14.1,8965.707259953162,43000,964706,28995.966101694914
2007,Nebraska,11.1,8965.707259953162,47072,1783440,28995.966101694914
2007,Nevada,10.6,8965.707259953162,54996,2601072,28995.966101694914
2007,New Hampshire,7.3,1075.0,62048,1312540,8393.0
2007,New Jersey,8.5,15137.0,67142,8677885,18223.0
2007,New Mexico,17.9,1874.0,41509,1990070,28995.966101694914
2007,New York,13.8,37780.0,53448,19132335,61866.0
2007,North Carolina,14.3,10513.0,44772,9118037,28995.966101694914
2007,North Dakota,11.8,8965.707259953162,43936,652822,28995.966101694914
2007,Ohio,13.1,8965.707259953162,46645,11500468,28995.966101694914
2007,Oklahoma,15.8,8965.707259953162,41551,3634349,28995.966101694914
2007,Oregon,13.0,2391.0,48735,3722417,28995.966101694914
2007,Pennsylvania,11.6,22916.0,48562,12563937,28995.966101694914
2007,Rhode Island,11.9,1483.0,52755,1057315,5211.0
2007,South Carolina,15.1,6055.0,43508,4444110,22314.0
2007,South Dakota,13.2,8965.707259953162,43507,791623,28995.966101694914
2007,Tennessee,15.8,7683.0,42389,6175727,28995.966101694914
2007,Texas,16.3,8965.707259953162,47563,23831983,28995.966101694914
2007,Utah,9.8,1276.0,55220,2597746,4921.0
2007,Vermont,10.1,399.0,49698,623481,3157.0
2007,Virginia,9.9,8965.707259953162,59575,7751000,28995.966101694914
2007,Washington,11.4,4647.0,55628,6461587,28995.966101694914
2007,West Virginia,17.1,2661.0,37057,1834052,28995.966101694914
2007,Wisconsin,10.8,4997.0,50567,5610775,17890.0
2007,Wyoming,9.5,8965.707259953162,52433,534876,28995.966101694914
2008,Alabama,15.9,8965.707259953162,42586,4718206,28995.966101694914
2008,Alaska,9.2,8965.707259953162,67332,687455,28995.966101694914
2008,Arizona,14.7,7511.0,51009,6280362,15185.0
2008,Arkansas,17.3,8965.707259953162,38820,2874554,28995.966101694914
2008,California,13.3,34153.0,61017,36604337,114348.0
2008,Colorado,11.2,4512.0,57184,4889730,28995.966101694914
2008,Connecticut,9.1,4917.0,68294,3545579,10313.0
2008,Delaware,10.3,8965.707259953162,58380,883874,28995.966101694914
2008,District of Columbia,16.9,8965.707259953162,58553,580236,28995.966101694914
2008,Florida,13.3,27756.0,47802,18527305,94719.0
2008,Georgia,14.7,8965.707259953162,50834,9504843,28995.966101694914
