Year,State,Poverty,Cases,Annual_income,Demograph,CO,O3,PM2.5
2010,Maryland,9.9,9507,68933,5788784,0.259875,0.0523875,9.596103896
2010,Massachusetts,11.4,10133,62133,6566440,0.230785714,0.046382353,7.095
2010,Michigan,16.7,15427,45354,9877597,0.25,0.04625,7.984753363
2010,Minnesota,11.5,3660,55422,5310934,0.2,0.04009375,6.45625
2010,Missouri,15.3,8021,44306,5996089,0.2375,0.04762,10.88878505
2010,New Hampshire,8.6,956,60917,1316807,0.4,0.044833333,5.964788732
2010,New Jersey,10.2,15075,67719,8799451,0.305555556,0.049866667,8.069565217
2010,New Mexico,19.8,1792,42186,2064614,0.26,0.046221154,5.376923077
2010,New York,15,37635,54047,19399956,0.325636364,0.044891026,7.482051282
2010,North Carolina,17.4,10464,43417,9574586,0.367833333,0.0515,9.764179104
2010,Oregon,15.8,2291,46536,3837614,0.42,0.03595,5.92173913
2010,Pennsylvania,13.4,21057,49245,12711406,0.2353125,0.048152778,10.46648501
2010,Rhode Island,14.1,1560,52053,1053994,0.2,0.048333333,6.341818182
2010,South Carolina,18.1,5897,42117,4635846,0.1625,0.04972619,10
2010,Tennessee,17.8,7212,41461,6355518,0.32175,0.050931034,12.17457627
2010,Utah,13.3,1470,54740,2775413,0.375,0.054625,5.869058296
2010,Vermont,12.4,333,49393,625886,0.35,0.0445,5.6
2010,Virginia,11.1,8827,60665,8024004,0.18025,0.051413462,9.292
2010,Washington,13.5,4793,55584,6743009,0.294333333,0.03475,7.465686275
2010,West Virginia,18.2,2682,38241,1854265,0.366666667,0.0501,11.975
2010,Wisconsin,13.2,4943,48974,5690538,0.1105,0.043234848,7.8495
2011,Arizona,19,7570,46710,6473416,0.309138889,0.052033333,7.99235474
2011,California,16.6,32949,57275,37636311,0.295918919,0.043811842,8.471527778
2011,Colorado,13.4,4199,55530,5121900,0.287,0.056318966,5.654135338
2011,Connecticut,10.8,4452,65822,3588632,0.286666667,0.045788462,8.023076923
2011,Florida,17,28544,44250,19055607,0.2032,0.044779661,7.057142857
2011,Iowa,12.7,2000,49545,3066772,0.193833333,0.043216667,9.38
2011,Kansas,13.8,2325,48844,2869677,0.25,0.05289,8.590909091
2011,Kentucky,19.1,6335,41141,4370817,0.45,0.047848485,9.744137931
2011,Louisiana,20.5,5811,41804,4576244,0.195,0.04138,8.976859504
2011,Maine,14.2,920,46160,1328473,0.1825,0.0389,8.336535806
2011,Maryland,10.2,8974,70075,5840241,0.20875,0.049342105,9.407142857
2011,Massachusetts,11.6,9928,63126,6614218,0.249357143,0.044367647,7.889473684
2011,Michigan,17.5,14488,45931,9883053,0.3125,0.044765152,7.444878049
2011,Minnesota,11.8,3513,56944,5346620,0.056,0.0401875,6.695714286
2011,Missouri,15.8,7466,45231,6011182,0.2,0.05009,10.45333333
2011,New Hampshire,9,988,62436,1320444,0.3,0.042461538,6.12247191
2011,New Jersey,10.4,14938,67574,8828552,0.3175,0.046171875,8.760869565
2011,New Mexico,20.9,1808,42097,2080707,0.356875,0.047883333,6.005
2011,New York,16.1,36910,55147,19499921,0.301444444,0.042980263,7.908333333
2011,Oregon,17.3,1955,46876,3872672,0.2725,0.03795,5.719047619
2011,Pennsylvania,13.7,21441,50221,12747052,0.179911765,0.045814655,10.38319783
2011,Rhode Island,14.7,1437,53152,1053829,0.2,0.047916667,7.336
2011,South Carolina,18.8,5745,42477,4672655,0.2,0.050318182,9.920720721
2011,Tennessee,18.4,7063,41691,6400298,0.3292,0.050657407,11.72571429
2011,Utah,13.6,1585,55802,2814797,0.34125,0.055357143,5.956097561
2011,Vermont,11.9,345,52033,627197,0.293333333,0.044375,5.98
2011,Virginia,11.6,8943,61877,8102437,0.245714286,0.04805,8.378571429
2011,Washington,13.9,4356,56811,6827479,0.286,0.03721875,6.235714286
2011,West Virginia,18.7,2786,38587,1856606,0.366666667,0.047136364,9.9125
2011,Wisconsin,13.1,4750,50401,5705840,0.12,0.042591667,8.131221719
2012,Arizona,18.7,7301,47796,6556344,0.316611111,0.051733333,7.637219731
2012,California,17,32305,58322,37944551,0.290486486,0.044671736,8.751503006
2012,Colorado,13.6,3807,56880,5193660,0.246111111,0.057471354,5.970212766
2012,Connecticut,10.6,4578,67275,3595211,0.280833333,0.047230769,6.784615385
2012,Florida,17.2,28338,45006,19302016,0.197818182,0.042478814,6.741732283
2012,Iowa,12.7,2057,50997,3076844,0.1955,0.047983333,8.786363636
2012,Kansas,14,2498,50140,2886024,0.266666667,0.05315,8.025
2012,Kentucky,19.3,5874,41717,4387865,0.315,0.04915625,9.372955975
2012,Louisiana,20.1,5268,42998,4602067,0.195,0.041177083,8.655652174
